# NOTE_CIRCULAR_TAP_CYAN
# NOTE_LINEAR_ALTERNATIVE_RED, NOTE_LINEAR_ALTERNATIVE_YELLOW, NOTE_LINEAR_TAP_YELLOW
1,255,108,133
# NOTE_CIRCULAR_TAP_YELLOW, NOTE_CIRCULAR_HOLD_YELLOW
1,390,118,118
# NOTE_CIRCULAR_TAP_CYAN
311,131,120,120
# NOTE_CIRCULAR_TAP_CYAN
347,510,112,120
# NOTE_CIRCULAR_TAP_GREEN
433,131,120,120
# 
121,390,118,118
# Sekai Critical Flick Circular Yellow
241,390,118,118
# NOTE_CIRCULAR_TAP_RED
361,390,118,118
# NOTE_CIRCULAR_TAP_YELLOW, Sekai Critical Flick Circular Yellow, Sekai Critical Slide Circular Yellow
189,1,128,128
# 
660,844,60,61
# Sekai Trace Note Circular Green, Sekai Trace Note Circular Yellow
461,510,112,114
# NOTE_CIRCULAR_HOLD_YELLOW, Sekai Critical Slide Circular Yellow
231,255,118,119
# 
555,131,120,120
# NOTE_CIRCULAR_TAP_GREEN
600,714,56,48
# Sekai Critical Flick Lane Linear
258,844,64,106
# LANE_LINEAR, Sekai Critical Flick Lane Linear, Sekai Note Lane Linear, Sekai Critical Lane Linear
194,844,62,119
# Sekai Slot Tap Cyan
319,1,122,128
# Sekai Slot Tap Yellow
677,131,120,120
# Sekai Slot Tap Red
1,510,116,120
# Sekai Slot Tap Green
689,510,112,112
# Sekai Slot Glow Tap Cyan
67,714,64,128
# Sekai Slot Glow Tap Yellow
199,714,62,126
# Sekai Slot Glow Tap Red
1,844,62,124
# Sekai Slot Glow Hold Green
65,844,63,121
# Sekai Slot Glow Tap Green
130,844,62,121
# Sekai Slot Glow Hold Yellow
263,714,62,126
# Note Linear Critical Add, Note Long Critical Linear Add
722,844,61,60
# NOTE_LINEAR_HOLD_GREEN
404,844,64,64
# NOTE_LINEAR_HOLD_GREEN
470,844,64,64
# Sekai Slot Glow Tap Yellow
133,714,64,127
# NOTE_CIRCULAR_TAP_RED
803,510,112,108
