# code: zh-tw
# key, value

# menu bar
file, 檔案
notes_se, 音符音效
visuals, 視覺效果
preview_draw_toolbar, 繪製預覽工具列
notes_speed, 音符速度
mirror_score, 鏡像譜面
flicks_animation, 滑動鍵動畫
holds_animation, 長按鍵動畫
simultaneous_lines, 雙押輔助線
notes_effect, 音符效果
holds_alpha, 長按鍵不透明度
guides_alpha, 輔助音符不透明度
stage_opacity, 舞台不透明度
stage_cover, 舞台覆蓋（縱向）
stage_lock_ratio, 維持舞台的長寬比
notes_skin, 音符外觀
select_engine, 選擇引擎
compress, 壓縮
score_partially_missing, 譜面可能部分遺失
effects_normal, 一般
effects_reduced, 較少
export_as_file_format, 匯出為何種格式？

# score editor
options, 選項
chart_properties, 譜面屬性
notes_timeline, 音符時間軸
score_preview, 譜面預覽
select, 選擇
tap, Tap
hold, Hold
hold_step, Hold 中繼點
flick, Flick
critical, Critical
trace, 軌道
guide, 輔助
bpm, BPM
time_signature, 時間戳
none, 無
default, 預設
left, 左
right, 右
normal, 一般
hidden, 隱藏
skip, 跳過
linear, 線性
ease_in, 前緩動
ease_out, 後緩動
delete, 刪除
copy, 複製
cut, 剪下
paste, 貼上
flip_paste, 鏡像貼上
flip, 鏡像
note_width, 音符寬度
shrink_down, 縮小（對齊起點）
shrink_up, 縮小（對齊終點）
connect_holds, 連接
split_hold, 分割 Hold
step_type, 中繼點類型
ease_type, 緩動類型
flick_type, Flick 類型
hold_type, Hold 類型
metadata, 資訊
title, 標題
designer, 譜師
artist, 演奏者
jacket, 封面
audio, 音訊
music_file, 音訊檔案
music_offset, 音訊延遲
volume_master, 主音量
volume_bgm, BGM 音量
volume_se, SE 音量
statistics, 統計
taps, Taps
flicks, Flicks
holds, Holds
steps, Hold steps
traces, 軌道
total, 合計
combo, Combo
goto_measure, 前往小節
division, 分割
division_suffix, 分割音符
custom, 自訂
custom_division, 自訂分割
zoom, 縮放
edit_bpm, 編輯 BPM
tick, 拍子
remove, 移除
edit_time_signature, 編輯時間戳
measure, 小節
skill, 技能
increase_note_size, 加寬音符
decrease_note_size, 減小音符
hi_speed, 加速
edit_hi_speed, 編輯加速度
hi_speed_speed, 加速速度
edit_skill, 編輯技能
edit_fever, 編輯FEVER
edit_none, 編輯
edit_event, 編輯事件
fullscreen_preview, 全螢幕預覽

# preset manager
presets, 預設
no_presets, 目前沒有可用的預設！
name, 名稱
description, 說明
create_preset, 建立預設
search, 搜尋
confirm, 確定
preset_deleted, 已刪除預設
close, 關閉

# commands
action, 動作
keys, 鍵
add, 新增
cmd_key_listen, 正在等待輸入
new_chart, 建立新檔案
toggle_playback, 播放/暫停
cancel_paste, 取消貼上
stop, 停止
previous_tick, 前一拍
next_tick, 下一拍
timeline_select, 時間軸「選擇」
timeline_tap, 時間軸「點擊」
timeline_hold, 時間軸「滑動」
timeline_hold_step, 時間軸「滑動中繼點」
timeline_flick, 時間軸「滑動」
timeline_critical, 時間軸「極致」
timeline_trace, 時間軸「軌道」
timeline_guide, 時間軸「輔助」
timeline_bpm, 時間軸「BPM」
timeline_time_signature, 時間軸「拍子」
timeline_hi_speed, 時間軸「加速」
zoom_in, 縮小
zoom_out, 放大
